Title,Author,First Publish Year,Subjects
The Secret of Chimneys,Agatha Christie,1925,"Fiction, Mystery, Superintendent Battle (Fictitious character), English Detective and mystery stories, Murder, Investigation, Conspiracies, Manors, Detective and mystery stories, Fiction, mystery & detective, traditional, Fiction, thrillers, suspense, London (england), fiction, Poirot, hercule (fictitious character), fiction, Fiction, mystery & detective, general, Fiction, mystery & detective, police procedural, Fiction, mystery & detective, international crime & mystery, Fiction, thrillers, general, Fiction, historical, general, English literature, Fiction, general"
Murder on the Links,Agatha Christie,1923,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Murder, Investigation, English Detective and mystery stories, Mystery, Golf courses, English literature, Identity, English fiction, England, fiction, Poirot, hercule (fictitious character), fiction, Fiction, mystery & detective, traditional, Private investigators, fiction, Fiction, thrillers, crime, Fiction, mystery & detective, private investigators, Poirot, Hercule (Fictitious character)--Fiction, Private investigators--England--Fiction, Fiction, thrillers, suspense, Fiction, mystery & detective, general, Fiction, historical, general, Comics & graphic novels, crime & mystery, Comic books, strips, Fiction, general"
Eva Luna,Isabel Allende,1987,"Spanish language books, Spanish fiction, Storytellers, Fiction, Spanish language materials, Short stories, Orphans, Spanish language, Novela chilena, Chilean fiction, Political activists, Love stories, Fiction, romance, general, South america, fiction, Journalists, fiction, Fiction, political, Large type books, Latin American fiction, Argentine Short stories, Manners and customs, Translations into English, Social life and customs, Readers, Fiction, general, English fiction, Fiction, short stories (single author), Latin america, fiction, Argentina, fiction, Wales, fiction, Südamerika, Frau, Belletristische Darstellung"
The Riddle of the Sands,Erskine Childers,1903,"Great britain, fiction, Fiction, action & adventure, Fiction, thrillers, espionage, Fiction, alternative history, Fiction, sea stories, Large type books, Fiction, Invasions, History, Secret service, Sailing, British, Classic Literature, Thriller, Mystery, Fiction, espionage, General, Invasions of Great Britain, English Spy stories, Secret service -- Fiction, Sailing -- Fiction, Spy fiction, Alternative histories (Fiction), Adventure fiction, Sea stories, Great Britain -- History -- Invasions -- Fiction, Frisian Islands -- Fiction, Great Britain -- History, Europe -- Frisian Islands, Great Britain, Readers, English language, juvenile literature"
Kidnapped,Robert Louis Stevenson,1886,"Juvenile fiction, Fiction, History, Adventure and adventurers, Scotland, Adventure, Adventure fiction, Historical fiction, Teenage boys, Kidnapping, Scotland-History-19th century - Fiction, Adventure and adventurers-Scotland - Fiction, Scotland, fiction, British and irish fiction (fictional works by one author), Fiction, historical, Fiction, action & adventure, Fiction, general, Adventure stories, Orphans, Shipwrecks, Adventures and adventurers, Large type books, Coming of age, Kidnapping victims, Disinheritance, Jacobites, Victimes d'enlèvement, Romans, nouvelles, Exhérédation, Garçons adolescents, Jacobites (Histoire de Grande-Bretagne), Livres en gros caractères, Histoire, Large print books, Fiction, christian, historical, Children's fiction, Adventure and adventurers, fiction, Jacobite Rebellion, 1745-1746, Scotland, history, fiction, Fiction, mystery & detective, general, Kidnapping, fiction, Uncles, Castaways, Inheritance and succession, Friendship, Voyages and travels, Kidnapping in fiction, Jacobites in fiction, Kidnapping victims Fiction, Coming of age in fiction, Literature, Romans, Teenage boys in fiction, Disinheritance Fiction, Open Library Staff Picks, Classic Literature, Thriller, Adaptations, Disinheritance in fiction, Adventure and adventurers in fiction, Comic books, strips, Scotland History 18th century Fiction, Jacobites Fiction, Aventures et aventuriers, Kidnapping victims in fiction, Teenage boys Fiction, Scotland in fiction, Juvenile Literature, Scottland, Friendships, Fiction, historical, general, Orphans, fiction, Scottish fiction, Readers, Fiction in English, Scottish authors"
After the Funeral,Agatha Christie,1953,"Fiction, Mystery, Hercule Poirot (Fictitious character), Private investigators, Belgians, Mystery and detective stories, England, fiction, Fiction, mystery & detective, traditional, Private investigators, fiction, Belgium, fiction, Fiction, mystery & detective, general, Fiction, crime, English literature, Détectives, Romans, nouvelles"
When the Sleeper Awakes,H. G. Wells,1899,"Fiction, Twenty-first century, Technological innovations, Time travel, Science fiction, Literature, Classic Literature, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Fiction, science fiction, general, Dystopias, English literature, Twenty-second century"
A Room with a View,Edward Morgan Forster,1908,"British, Fiction, Young women, British in fiction, England in fiction, Travel, Young women in fiction, love, romance, Movie novels, Historical fiction, British and irish fiction (fictional works by one author), Large type books, Young women, fiction, Fiction, humorous, general, Italy, fiction, Great britain, fiction, Fiction, romance, general, British Travel Association, England, fiction, Classic Literature, Fiction, humorous, Forster, e. m. (edward morgan), 1879-1970, Korean, Dictionaries, English language, Spanish, Chinese, Social life and customs, English Love stories, Classics, Britanniques, Romans, nouvelles, Voyages, Jeunes femmes, Fiction, psychological, Fiction, general"
White Fang,Jack London,1905,"Gold discoveries, Wolfdogs, Classic Literature, American Adventure stories, Open Library Staff Picks, Juvenile fiction, Fiction, Gold mines and mining, Historical Fiction, Wolves, Human-animal relationships, Juvenile Literature, Dogs, Thriller, Accelerated Reader, Mensch, Survival, Children: Grades 4-6, Children: Grades 3-4, Children's fiction, Wolves, fiction, Gold mines and mining, fiction, American fiction (fictional works by one author), Dogs, fiction, Canada, fiction, Indians of North America, Large type books, Loups, Romans, nouvelles, etc. pour la jeunesse, Chiens, Pôle Nord, Romans, Adventure stories, Nature, fiction, Fiction, action & adventure, Fiction, historical, general, Human-animal relationships, fiction, History, Wolfdogs -- Fiction, Canada, Northern -- Fiction, Wilderness survival, fiction, Alaska, fiction, Yukon, fiction, California, fiction, Dogs, juvenile literature, Adventure and adventurers, fiction"
My Ántonia,Willa Cather,1918,"Literature, Frontier and pioneer life, Czech Americans, Married women, Friendship, Women immigrants, Fiction, Farmers' spouses, Women pioneers, Classic Literature, Farm life, Love stories, My Ántonia (Cather, Willa), Farmers' spouse, Romans, Vie des pionniers, Women, American fiction (fictional works by one author), Nebraska, fiction, Married people, fiction, Fiction, westerns, Friendship, fiction, Czechoslovakian Americans, Junge Frau, Siedler, Friendship in children, Immigrants, History, Fiction, historical, general, Fiction, family life, Fiction, family life, general, Fictional Works Publication Type, Nebraska -- Fiction, Frontier and pioneer life -- Nebraska -- Fiction, Western stories, Domestic fiction, Friendship -- Fiction, Married women -- Fiction, Farm life -- Fiction, Women pioneers -- Fiction, Women immigrants -- Fiction, Farmers’ spouses -- Fiction, Czech Americans -- Fiction, Frontier and pioneer life, fiction, Reading Level-Grade 11, Reading Level-Grade 12, Large type books, Fiction, historical, Fiction, general, Iowa, fiction, Fiction, sagas, Juvenile literature, Pioneers, American literature, Study and teaching (Secondary), Pionniers, Ouvrages pour la jeunesse, Immigrantes, Romans, nouvelles, Agriculteurs, Conjoints, Américains d'origine tchèque, Pionnières, Femmes mariées, Vie à la ferme, Classics, Children's fiction, Frontier and pioneer life--fiction, Farmers' spouses--fiction, Women pioneers--fiction, Farm life--fiction, Women immigrants--fiction, Czech americans--fiction, Married women--fiction, Ps3505.a87 m8 2003b, 813/.52"
Murder in Mesopotamia,Agatha Christie,1936,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Belgians, Americans, Archaeologists, Mystery, Large type books, Excavations (Archaeology), Utgrävningar, Skönlitteratur, English literature, Fiction, mystery & detective, general, Private investigators, fiction, Poirot, hercule (fictitious character), fiction, Archaeologists, fiction, Iraq, fiction, Fiction, mystery & detective, traditional, Middle east, fiction"
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,"Classic Literature, Adventure and adventurers, Open Library Staff Picks, Juvenile fiction, British, Fiction, Text-books for foreigners, English language, Historical Fiction, Sir Blakeney, Percy (Fictitious character), Refugees, Nobility, History, France, history, revolution, 1789-1799, fiction, France, fiction, Blakeney, percy, sir (fictitious character), fiction, Continental european fiction (fictional works by one author), Great britain, fiction, Children's fiction, France, history, fiction, Adventure and adventurers, fiction, Large type books, Adventure fiction, France, 1789-1799, Revolution, Fiction, historical, Fiction, historical, general, Fiction, action & adventure, England, fiction, Fiction, general, Adventure, Childrens fiction, Romans, nouvelles, Histoire, Britanniques, English language, textbooks for foreign speakers, Readers, Revolution (France : 1789-1799) fast (OCoLC)fst01354514"
Le fantôme de l'opéra,Gaston Leroux,1911,"Fiction, Opera, Composers, Phantom of the Opera (Fictitious character), Readers, English language, Horror stories, Chinese language, Chinese, Reading comprehension, Foreign speakers, Textbooks for foreign speakers, Study and teaching, Translations into English, Opera de Paris, French fiction, Romance fiction, Psychological fiction, Horror tales, Fiction, thrillers, Children's fiction, Paris (france), fiction, France, fiction, Phantom of the opera (fictitious character), fiction, Composers, fiction, Fiction, gothic, Fiction, horror, Readers for new literates, Musical fiction, Musicals, Adaptations, Juvenile fiction, Singers, History"
The Story of Doctor Dolittle,Hugh Lofting,1920,"Animals, Classic Literature, Children's stories, Fiction, Juvenile fiction, Fantasy, Fantasy fiction, Juvenile works, Children's fiction, Animals, fiction, Dolittle, doctor (fictitious character), fiction, Physicians, Human-animal communication, Er tong wen xue, Chang pian xiao shuo, Fiction, fantasy, general"
Ivanhoe,Sir Walter Scott,1800,"Fiction, History, Knights and knighthood, Jews, Sir Ivanhoe, Wilfred of (Fictitious character), Anglo-Saxons, Juvenile fiction, Normans, Readers, Triangles (Interpersonal relations), Chivalry, German language, Translations into French, Translations from English, Crusades, English literature, French literature, Medieval Civilization, Classic Literature, British and irish fiction (fictional works by one author), Great britain, fiction, Fiction, romance, historical, Jews, fiction, England, fiction, Fiction, historical, Templars, Fiction, historical, general, Large type books, Historical fiction, Children's fiction, Great britain, history, fiction, Richard i, king of england, 1157-1199, fiction, Great britain, history, plantagenets, 1154-1399, fiction, Knights and knighthood, fiction"
